film,IMDb ID,Genres
The Big Story,tt0051370,"Crime, Drama, Film-Noir"
Bob's Birthday,tt0106446,"Animation, Short, Comedy"
The Janitor,tt3887360,"Crime, Action, Drama"
The Monk and the Fish,tt0110547,"Animation, Short, Comedy, Music"
Triangle,tt1187064,"Fantasy, Mystery, Thriller, Sci-Fi"
Franz Kafka's It's a Wonderful Life,tt0106961,"Biography, Fantasy, Short, Comedy"
Kangaroo Court,tt0110239,Short
On Hope,tt0110726,Drama
Syrup,tt0762138,"Drama, Comedy, Romance"
Trevor,tt0111486,"Drama, Short, Comedy"
Clear and Present Danger,tt0109444,"Crime, Action, Drama, Thriller"
The Mask,tt0110475,"Crime, Fantasy, Comedy"
True Lies,tt0111503,"Thriller, Action, Comedy"
Heavenly Creatures,tt0110005,"Biography, Drama, Crime, Thriller"
Leaving Las Vegas,tt0113627,"Drama, Romance"
Mr. Holland's Opus,tt0113862,"Drama, Music"
Nixon,tt0113987,"Biography, Drama, History"
Dead Man Walking,tt0112818,"Crime, Drama"
The Postman (Il Postino),tt0110877,"Biography, Drama, Comedy, Romance"
Babe,tt0112431,"Family, Drama, Comedy"
Apollo 13,tt0112384,"Adventure, Drama, History"
12 Monkeys,tt0114746,"Thriller, Mystery, Sci-Fi"
Rob Roy,tt0114287,"Adventure, Biography, Drama"
The Usual Suspects,tt0114814,"Crime, Mystery, Drama"
Casino,tt0112641,"Crime, Drama"
The Bridges of Madison County,tt0112579,"Drama, Romance"
Sense and Sensibility,tt0114388,"Drama, Romance"
Mighty Aphrodite,tt0113819,"Fantasy, Comedy, Romance"
Georgia,tt0113158,"Drama, Music"
A Little Princess,tt0113670,"Fantasy, Drama, Family"
Restoration,tt0114272,"Biography, Drama, History, Romance"
Richard III,tt0114279,"War, Drama, Sci-Fi"
Batman Forever,tt0112462,"Adventure, Action"
Braveheart,tt0112573,"Biography, War, Drama"
Shanghai Triad,tt0115012,"Drama, History, Crime, Thriller, Romance"
Anne Frank Remembered,tt0112373,"Biography, War, Documentary"
The Battle over Citizen Kane,tt0115634,"Biography, Documentary, History"
Fiddlefest--Roberta Tzavaras and Her East Harlem Violin Program,Not found,N/A
Hank Aaron: Chasing the Dream,tt0113254,"Biography, Sport, Documentary"
Troublesome Creek: A Midwestern,tt1614420,Documentary
Jim Dine: A Self-Portrait on the Walls,tt0113473,"Documentary, Short"
The Living Sea,tt0113676,"Documentary, Short"
Never Give Up: The 20th Century Odyssey of Herbert Zipper,tt0113963,"Documentary, Short"
One Survivor Remembers,tt0114044,"Documentary, History, Short"
The Shadow of Hate,tt0114405,"Documentary, Short"
Crimson Tide,tt0112740,"Thriller, Action, War, Drama"
Seven,tt0114369,"Crime, Mystery, Drama"
All Things Fair,tt0113720,"War, Drama, Romance"
Antonia's Line,tt0112379,"Drama, Comedy"
Dust of Life,tt0110880,Drama
O Quatrilho,tt0114212,"Drama, Romance"
The Star Maker,tt0083122,Drama
"My Family, Mi Familia",tt0113896,Drama
Roommates,tt4842652,Comedy
The American President,tt0112346,"Drama, Comedy, Romance"
Pocahontas,tt0114148,"Animation, Drama, Family, Musical, Romance, Adventure"
Sabrina,tt0047437,"Drama, Comedy, Romance"
Toy Story,tt0114709,"Animation, Comedy, Family, Adventure, Fantasy"
Unstrung Heroes,tt0114798,"Drama, Comedy"
Don Juan DeMarco,tt0112883,"Drama, Comedy, Romance"
The Chicken from Outer Space,tt0112661,"Animation, Short, Comedy"
A Close Shave,tt0112691,"Animation, Comedy, Mystery, Family, Crime, Short"
the end,tt15551346,"Fantasy, Drama, Musical, Sci-Fi"
Gagarin,tt0113138,"Animation, Short, Comedy"
Runaway Brain,tt0114308,"Animation, Comedy, Action, Adventure, Short"
Brooms,tt0112584,"Short, Music"
Duke of Groove,tt0112910,Drama
Lieberman in Love,tt0113653,Short
Little Surprises,tt0113671,"Drama, Comedy"
Tuesday Morning Ride,tt0114742,"Drama, Short"
Waterworld,tt0114898,"Adventure, Action, Sci-Fi"
Jerry Maguire,tt0116695,"Sport, Drama, Comedy, Romance"
The English Patient,tt0116209,"War, Drama, Romance"
The People vs. Larry Flynt,tt0117318,"Biography, Drama"
Shine,tt0117631,"Biography, Romance, Drama, Music"
Sling Blade,tt0117666,Drama
Fargo,tt2802850,"Crime, Drama, Thriller"
Primal Fear,tt0117381,"Crime, Mystery, Drama, Thriller"
Ghosts of Mississippi,tt0116410,"Drama, History"
Secrets & Lies,tt0117589,"Drama, Comedy"
Marvin's Room,tt0116999,Drama
Breaking the Waves,tt0115751,Drama
The Crucible,tt0115988,"Drama, History"
The Mirror Has Two Faces,tt0117057,"Drama, Comedy, Romance"
The Portrait of a Lady,tt0117364,"Drama, Romance"
The Birdcage,tt0115685,Comedy
Evita,tt0116250,"Biography, Musical, Drama, History"
William Shakespeare's Romeo & Juliet,tt0063518,"Drama, Romance"
Fly Away Home,tt0116329,"Adventure, Drama, Family"
Michael Collins,tt0117039,"Drama, History, War, Thriller, Biography"
Angels and Insects,tt0112365,"Drama, Romance"
Emma,tt9214832,"Drama, Comedy, Romance"
The Line King: The Al Hirschfeld Story,tt0116886,"Biography, Documentary"
Mandela,tt10687070,"Drama, Comedy"
Suzanne Farrell: Elusive Muse,tt0117793,Documentary
Tell the Truth and Run: George Seldes and the American Press,tt0117873,"Biography, Documentary, History"
When We Were Kings,tt0118147,"Sport, Documentary"
Breathing Lessons: The Life and Work of Mark O'Brien,tt0115753,"Documentary, Short"
Cosmic Voyage,tt0115952,"Documentary, Short"
An Essay on Matisse,tt0116234,Documentary
Special Effects,tt0088157,"Horror, Drama, Thriller"
The Wild Bunch: An Album in Montage,tt0118167,"Documentary, Short"
A Chef in Love,tt0117050,"Comedy, Romance"
Kolya,tt0116790,"Drama, Comedy, Music"
The Other Side of Sunday,tt0117817,"Drama, Comedy"
Prisoner of the Mountains,tt0116754,"War, Drama"
Ridicule,tt0117477,"History, Drama, Comedy, Romance"
The Nutty Professor,tt0117218,"Sci-Fi, Comedy, Romance"
Star Trek: First Contact,tt0117731,"Drama, Action, Thriller, Adventure, Sci-Fi"
Sleepers,tt0117665,"Crime, Drama, Thriller"
The First Wives Club,tt0116313,Comedy
The Hunchback of Notre Dame,tt0116583,"Animation, Drama, Family, Musical, Romance"
James and the Giant Peach,tt0116683,"Adventure, Animation, Fantasy, Family"
The Preacher's Wife,tt0117372,"Fantasy, Drama, Comedy, Romance"
Up Close and Personal,tt0118055,"Drama, Romance"
One Fine Day,tt0117247,"Drama, Comedy, Romance"
That Thing You Do!,tt0117887,"Drama, Comedy, Music"
Canhead,tt0115817,"Fantasy, Animation, Short"
La Salla,tt0117542,"Animation, Short, Comedy, Music"
Quest,tt0086162,"Adventure, Mystery, Short, Sci-Fi"
Wat's Pig,tt0118123,"Animation, Short"
"De Tripas, Corazon",tt0116044,"Short, Comedy"
Dear Diary,tt0109382,"Biography, Drama, Comedy"
Ernst & Lyset,tt0116214,"Short, Comedy"
Esposados,tt0116233,"Short, Comedy"
Wordless,tt1814952,"Drama, Short, Comedy"
Independence Day,tt0116629,"Adventure, Action, Sci-Fi"
The Rock,tt0117500,"Adventure, Action, Thriller"
Twister,tt0117998,"Adventure, Action, Thriller"
Daylight,tt0116040,"Adventure, Action, Drama, Thriller"
Eraser,tt0116213,"Crime, Action, Thriller"
The Ghost and the Darkness,tt0116409,"Adventure, Drama, Thriller"
Dragonheart,tt0116136,"Adventure, Action, Fantasy"
Trainspotting,tt0117951,Drama
